"No.","Time","Source","Destination","Protocol","Length","Source Port","Message Identifier","Destination Port","Info"
"707","34.884879304","192.168.15.8","130.185.238.170","MQTT","338","58693","7","1883","Publish Message (id=7) [devices-2]"
"708","34.958379010","130.185.238.170","192.168.15.8","MQTT","336","1883","","58693","Publish Message [devices-2]"
"710","35.034370372","130.185.238.170","192.168.15.8","MQTT","70","1883","7","58693","Publish Ack (id=7)"
"723","36.699264087","192.168.15.8","130.185.238.170","MQTT","338","59943","6","1883","Publish Message (id=6) [devices-4]"
"724","36.731904999","192.168.15.8","130.185.238.170","MQTT","338","55897","6","1883","Publish Message (id=6) [devices-1]"
"727","36.777101352","130.185.238.170","192.168.15.8","MQTT","336","1883","","59943","Publish Message [devices-4]"
"732","36.811804347","130.185.238.170","192.168.15.8","MQTT","336","1883","","55897","Publish Message [devices-1]"
"735","36.852763834","130.185.238.170","192.168.15.8","MQTT","70","1883","6","59943","Publish Ack (id=6)"
"741","36.891740026","130.185.238.170","192.168.15.8","MQTT","70","1883","6","55897","Publish Ack (id=6)"
"748","37.242343541","192.168.15.8","130.185.238.170","MQTT","338","45035","7","1883","Publish Message (id=7) [devices-3]"
"749","37.320819512","130.185.238.170","192.168.15.8","MQTT","336","1883","","45035","Publish Message [devices-3]"
"753","37.396471448","130.185.238.170","192.168.15.8","MQTT","70","1883","7","45035","Publish Ack (id=7)"
"755","37.590649601","192.168.15.8","130.185.238.170","MQTT","338","55567","5","1883","Publish Message (id=5) [devices-5]"
"756","37.618283145","192.168.15.8","130.185.238.170","MQTT","338","58693","8","1883","Publish Message (id=8) [devices-2]"
"757","37.668877630","130.185.238.170","192.168.15.8","MQTT","336","1883","","55567","Publish Message [devices-5]"
"759","37.694699103","130.185.238.170","192.168.15.8","MQTT","336","1883","","58693","Publish Message [devices-2]"
"761","37.744746655","130.185.238.170","192.168.15.8","MQTT","70","1883","5","55567","Publish Ack (id=5)"
"763","37.770242327","130.185.238.170","192.168.15.8","MQTT","70","1883","8","58693","Publish Ack (id=8)"
"779","38.179538423","192.168.15.8","130.185.238.170","MQTT","338","55897","7","1883","Publish Message (id=7) [devices-1]"
"780","38.259832183","130.185.238.170","192.168.15.8","MQTT","336","1883","","55897","Publish Message [devices-1]"
"782","38.339701703","130.185.238.170","192.168.15.8","MQTT","70","1883","7","55897","Publish Ack (id=7)"
"801","39.996765352","192.168.15.8","130.185.238.170","MQTT","338","55567","6","1883","Publish Message (id=6) [devices-5]"
"802","40.072948116","130.185.238.170","192.168.15.8","MQTT","336","1883","","55567","Publish Message [devices-5]"
"810","40.148642486","130.185.238.170","192.168.15.8","MQTT","70","1883","6","55567","Publish Ack (id=6)"
"816","41.077697398","192.168.15.8","130.185.238.170","MQTT","338","45035","8","1883","Publish Message (id=8) [devices-3]"
"818","41.156834730","130.185.238.170","192.168.15.8","MQTT","336","1883","","45035","Publish Message [devices-3]"
"825","41.232736682","130.185.238.170","192.168.15.8","MQTT","70","1883","8","45035","Publish Ack (id=8)"
"827","41.461547331","192.168.15.8","130.185.238.170","MQTT","338","55567","7","1883","Publish Message (id=7) [devices-5]"
"828","41.536974050","130.185.238.170","192.168.15.8","MQTT","336","1883","","55567","Publish Message [devices-5]"
"830","41.613059329","130.185.238.170","192.168.15.8","MQTT","70","1883","7","55567","Publish Ack (id=7)"
"832","41.828679607","192.168.15.8","130.185.238.170","MQTT","338","59943","7","1883","Publish Message (id=7) [devices-4]"
"833","41.904962054","130.185.238.170","192.168.15.8","MQTT","336","1883","","59943","Publish Message [devices-4]"
"835","41.980695241","130.185.238.170","192.168.15.8","MQTT","70","1883","7","59943","Publish Ack (id=7)"
"837","42.244731309","192.168.15.8","130.185.238.170","MQTT","338","58693","9","1883","Publish Message (id=9) [devices-2]"
"843","42.318524761","130.185.238.170","192.168.15.8","MQTT","336","1883","","58693","Publish Message [devices-2]"
"845","42.394309796","130.185.238.170","192.168.15.8","MQTT","70","1883","9","58693","Publish Ack (id=9)"
"853","43.013591673","192.168.15.8","130.185.238.170","MQTT","338","45035","9","1883","Publish Message (id=9) [devices-3]"
"854","43.088860837","130.185.238.170","192.168.15.8","MQTT","336","1883","","45035","Publish Message [devices-3]"
"858","43.144822043","192.168.15.8","130.185.238.170","MQTT","338","55897","8","1883","Publish Message (id=8) [devices-1]"
"859","43.164698794","130.185.238.170","192.168.15.8","MQTT","70","1883","9","45035","Publish Ack (id=9)"
"861","43.223676727","130.185.238.170","192.168.15.8","MQTT","336","1883","","55897","Publish Message [devices-1]"
"863","43.303741033","130.185.238.170","192.168.15.8","MQTT","70","1883","8","55897","Publish Ack (id=8)"
"877","44.804820548","192.168.15.8","130.185.238.170","MQTT","338","58693","10","1883","Publish Message (id=10) [devices-2]"
