"No.","Time","Source","Destination","Protocol","Length","Message Type","Destination Port","Source Port","Message","Message Identifier","Info"
"196","5.203177247","192.168.15.2","45.179.91.194","MQTT","117","Subscribe Request","1883","46061","","1","Subscribe Request (id=1) [devices-ccd2a504-87ed-40b9-bdca-fec119ef77c4]"
"197","5.203279639","192.168.15.2","45.179.91.194","MQTT","117","Subscribe Request","1883","55567","","1","Subscribe Request (id=1) [devices-363f622d-4add-4e75-9b71-c81d66119ef1]"
"198","5.203430692","192.168.15.2","45.179.91.194","MQTT","117","Subscribe Request","1883","34875","","1","Subscribe Request (id=1) [devices-701f10f1-66bb-4698-a97d-375e124239a6]"
"199","5.203477409","192.168.15.2","45.179.91.194","MQTT","117","Subscribe Request","1883","58331","","1","Subscribe Request (id=1) [devices-ec1bef3a-9531-44e5-bd99-0e7620408571]"
"200","5.203689146","192.168.15.2","45.179.91.194","MQTT","117","Subscribe Request","1883","37563","","1","Subscribe Request (id=1) [devices-cb39e3cb-d687-4656-ba9f-3f40f6533a9f]"
"201","5.203736465","192.168.15.2","45.179.91.194","MQTT","117","Subscribe Request","1883","60171","","1","Subscribe Request (id=1) [devices-2cdfdbf7-3632-4de1-83f3-1d307e813765]"
"203","5.204532978","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","42593","7b276d657373616765273a2027645047386d7a55716f6e694b79304c6c36415a62596d36â\200\246","2","Publish Message (id=2) [devices-8bd0e222-d45b-416e-b826-e9e7529bf76e]"
"206","5.204609551","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","58671","7b276d657373616765273a2027433658386e7044334c426c79623955717a504e63624136â\200\246","2","Publish Message (id=2) [devices-031454d1-30c2-4f2d-b9af-8ab07bb1bde7]"
"207","5.204624900","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","45369","7b276d657373616765273a202768376d306f41314742676744696e7a65354c3379747572â\200\246","2","Publish Message (id=2) [devices-a996a1c2-8a0c-4cfb-99b7-2a36f1efa713]"
"208","5.204650448","45.179.91.194","192.168.15.2","MQTT","71","Subscribe Ack","42593","1883","","1","Subscribe Ack (id=1)"
"209","5.204650698","45.179.91.194","192.168.15.2","MQTT","71","Subscribe Ack","45369","1883","","1","Subscribe Ack (id=1)"
"210","5.204650829","45.179.91.194","192.168.15.2","MQTT","71","Subscribe Ack","58671","1883","","1","Subscribe Ack (id=1)"
"215","5.205424709","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","44179","7b276d657373616765273a2027456a5358377066564b4f61505737504c3567515852466dâ\200\246","2","Publish Message (id=2) [devices-bdfe31c6-ff82-4f8f-8ce4-d1e90dd15f01]"
"216","5.205463652","45.179.91.194","192.168.15.2","MQTT","71","Subscribe Ack","44179","1883","","1","Subscribe Ack (id=1)"
"219","5.208455879","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","36873","7b276d657373616765273a202742554e75496b386e704d52375055724b794e6b7547694dâ\200\246","2","Publish Message (id=2) [devices-4f4dbb6b-c02e-463d-b30c-876f66da3213]"
"220","5.208504320","45.179.91.194","192.168.15.2","MQTT","71","Subscribe Ack","36873","1883","","1","Subscribe Ack (id=1)"
"223","5.208745362","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","46357","7b276d657373616765273a2027524c4b395855476462457852526b7a4f6f4c734b495836â\200\246","2","Publish Message (id=2) [devices-a2a7d957-7a48-4a1e-9941-22ba5af231e4]"
"224","5.208751003","45.179.91.194","192.168.15.2","MQTT","71","Subscribe Ack","46357","1883","","1","Subscribe Ack (id=1)"
"227","5.209456024","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","56853","7b276d657373616765273a202746656c333766797a52325541384c77494955756e6d6671â\200\246","2","Publish Message (id=2) [devices-100714b9-ea3e-45c6-b02a-036a48575850]"
"229","5.209500207","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","35983","7b276d657373616765273a202767776c76544336784769567646364d4273636567424474â\200\246","2","Publish Message (id=2) [devices-ad5538cd-dbc2-4c7c-996e-da11fddaf230]"
"230","5.209507039","45.179.91.194","192.168.15.2","MQTT","71","Subscribe Ack","56853","1883","","1","Subscribe Ack (id=1)"
"232","5.209548577","45.179.91.194","192.168.15.2","MQTT","71","Subscribe Ack","35983","1883","","1","Subscribe Ack (id=1)"
"236","5.212500650","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","60171","7b276d657373616765273a20274561565530786e37703462366b434935794d7954763361â\200\246","2","Publish Message (id=2) [devices-2cdfdbf7-3632-4de1-83f3-1d307e813765]"
"238","5.212544632","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","34875","7b276d657373616765273a2027474b4b77334c567234515832326b73593550714b535049â\200\246","2","Publish Message (id=2) [devices-701f10f1-66bb-4698-a97d-375e124239a6]"
"239","5.212699773","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","37305","1883","7b276d657373616765273a20277139556b4b656d32456f6843584935365036493466316fâ\200\246","","Publish Message [devices-239057af-75fc-4254-84e8-6ac90d95972d]"
"240","5.212699993","45.179.91.194","192.168.15.2","MQTT","71","Subscribe Ack","60171","1883","","1","Subscribe Ack (id=1)"
"246","5.212863650","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","37563","7b276d657373616765273a20274b795562466359434656314c627530357741436d586664â\200\246","2","Publish Message (id=2) [devices-cb39e3cb-d687-4656-ba9f-3f40f6533a9f]"
"247","5.212878127","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","38495","7b276d657373616765273a2027726a436c504c4c4543555152384e465361576438686a70â\200\246","2","Publish Message (id=2) [devices-f42e5a3a-5d4f-4956-bb58-763b73646f9e]"
"252","5.213008251","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","58681","7b276d657373616765273a2027327136436463386369553759797042675a333635553576â\200\246","2","Publish Message (id=2) [devices-096549b8-c446-4be4-846b-5dc4d0afc86e]"
"253","5.213022708","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","55567","7b276d657373616765273a20276344777769756671416865436c3249784d613950693845â\200\246","2","Publish Message (id=2) [devices-363f622d-4add-4e75-9b71-c81d66119ef1]"
"254","5.213036183","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","58331","7b276d657373616765273a2027574b675046697148556e755675696546786b3467483635â\200\246","2","Publish Message (id=2) [devices-ec1bef3a-9531-44e5-bd99-0e7620408571]"
"257","5.213046603","45.179.91.194","192.168.15.2","MQTT","71","Subscribe Ack","34875","1883","","1","Subscribe Ack (id=1)"
"258","5.213125150","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","46061","7b276d657373616765273a2027694b6e6f365a58374137734c77396d746a757637666176â\200\246","2","Publish Message (id=2) [devices-ccd2a504-87ed-40b9-bdca-fec119ef77c4]"
"260","5.213155597","45.179.91.194","192.168.15.2","MQTT","71","Subscribe Ack","38495","1883","","1","Subscribe Ack (id=1)"
"261","5.213155798","45.179.91.194","192.168.15.2","MQTT","71","Subscribe Ack","37563","1883","","1","Subscribe Ack (id=1)"
"264","5.213267898","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","57647","1883","7b276d657373616765273a2027477657697476475a36306c4e4d5a6c65763142657a7a4fâ\200\246","","Publish Message [devices-6666a102-3c15-4593-8e43-29da54ecaf5d]"
"265","5.213268178","45.179.91.194","192.168.15.2","MQTT","71","Subscribe Ack","58681","1883","","1","Subscribe Ack (id=1)"
"268","5.213391279","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","39557","1883","7b276d657373616765273a20276f63706e37344a386b65707266586c4b684a6f63706b41â\200\246","","Publish Message [devices-8952d681-da58-4a00-973c-951f3ae4bedd]"
"269","5.213391469","45.179.91.194","192.168.15.2","MQTT","71","Subscribe Ack","55567","1883","","1","Subscribe Ack (id=1)"
"270","5.213391589","45.179.91.194","192.168.15.2","MQTT","71","Subscribe Ack","58331","1883","","1","Subscribe Ack (id=1)"
"274","5.213568892","45.179.91.194","192.168.15.2","MQTT","71","Subscribe Ack","46061","1883","","1","Subscribe Ack (id=1)"
"275","5.213569172","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","40205","1883","7b276d657373616765273a20273477526e727435736d7164396f58413143385647656c37â\200\246","","Publish Message [devices-3385dde9-98ba-4c0b-b586-70d4f05f1a73]"
"281","5.216738643","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","58671","1883","7b276d657373616765273a2027433658386e7044334c426c79623955717a504e63624136â\200\246","","Publish Message [devices-031454d1-30c2-4f2d-b9af-8ab07bb1bde7]"
"283","5.216789137","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","42593","1883","7b276d657373616765273a2027645047386d7a55716f6e694b79304c6c36415a62596d36â\200\246","","Publish Message [devices-8bd0e222-d45b-416e-b826-e9e7529bf76e]"
"285","5.216832198","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","45369","1883","7b276d657373616765273a202768376d306f41314742676744696e7a65354c3379747572â\200\246","","Publish Message [devices-a996a1c2-8a0c-4cfb-99b7-2a36f1efa713]"
"288","5.217631306","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","44179","1883","7b276d657373616765273a2027456a5358377066564b4f61505737504c3567515852466dâ\200\246","","Publish Message [devices-bdfe31c6-ff82-4f8f-8ce4-d1e90dd15f01]"
"291","5.220576435","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","36873","1883","7b276d657373616765273a202742554e75496b386e704d52375055724b794e6b7547694dâ\200\246","","Publish Message [devices-4f4dbb6b-c02e-463d-b30c-876f66da3213]"
"294","5.220815343","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","46357","1883","7b276d657373616765273a2027524c4b395855476462457852526b7a4f6f4c734b495836â\200\246","","Publish Message [devices-a2a7d957-7a48-4a1e-9941-22ba5af231e4]"
"298","5.221553286","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","56853","1883","7b276d657373616765273a202746656c333766797a52325541384c77494955756e6d6671â\200\246","","Publish Message [devices-100714b9-ea3e-45c6-b02a-036a48575850]"
"300","5.221628336","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","35983","1883","7b276d657373616765273a202767776c76544336784769567646364d4273636567424474â\200\246","","Publish Message [devices-ad5538cd-dbc2-4c7c-996e-da11fddaf230]"
"302","5.224514315","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","37305","1883","","2","Publish Ack (id=2)"
"306","5.224746630","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","60171","1883","7b276d657373616765273a20274561565530786e37703462366b434935794d7954763361â\200\246","","Publish Message [devices-2cdfdbf7-3632-4de1-83f3-1d307e813765]"
"310","5.224813405","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","57647","1883","","2","Publish Ack (id=2)"
"312","5.224980519","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","34875","1883","7b276d657373616765273a2027474b4b77334c567234515832326b73593550714b535049â\200\246","","Publish Message [devices-701f10f1-66bb-4698-a97d-375e124239a6]"
"313","5.224980659","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","39557","1883","","2","Publish Ack (id=2)"
"320","5.225084143","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","40205","1883","","2","Publish Ack (id=2)"
"322","5.225247910","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","38495","1883","7b276d657373616765273a2027726a436c504c4c4543555152384e465361576438686a70â\200\246","","Publish Message [devices-f42e5a3a-5d4f-4956-bb58-763b73646f9e]"
"323","5.225248150","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","37563","1883","7b276d657373616765273a20274b795562466359434656314c627530357741436d586664â\200\246","","Publish Message [devices-cb39e3cb-d687-4656-ba9f-3f40f6533a9f]"
"324","5.225248291","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","55567","1883","7b276d657373616765273a20276344777769756671416865436c3249784d613950693845â\200\246","","Publish Message [devices-363f622d-4add-4e75-9b71-c81d66119ef1]"
"328","5.225415915","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","46061","1883","7b276d657373616765273a2027694b6e6f365a58374137734c77396d746a757637666176â\200\246","","Publish Message [devices-ccd2a504-87ed-40b9-bdca-fec119ef77c4]"
"329","5.225416195","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","58331","1883","7b276d657373616765273a2027574b675046697148556e755675696546786b3467483635â\200\246","","Publish Message [devices-ec1bef3a-9531-44e5-bd99-0e7620408571]"
"332","5.225532443","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","58681","1883","7b276d657373616765273a2027327136436463386369553759797042675a333635553576â\200\246","","Publish Message [devices-096549b8-c446-4be4-846b-5dc4d0afc86e]"
"334","5.228485247","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","42593","1883","","2","Publish Ack (id=2)"
"336","5.228556832","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","58671","1883","","2","Publish Ack (id=2)"
"337","5.228557022","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","45369","1883","","2","Publish Ack (id=2)"
"340","5.229424818","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","44179","1883","","2","Publish Ack (id=2)"
"342","5.232586213","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","36873","1883","","2","Publish Ack (id=2)"
"344","5.232860758","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","46357","1883","","2","Publish Ack (id=2)"
"346","5.233557704","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","35983","1883","","2","Publish Ack (id=2)"
"347","5.233557874","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","56853","1883","","2","Publish Ack (id=2)"
"350","5.236432421","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","60171","1883","","2","Publish Ack (id=2)"
"352","5.236519354","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","34875","1883","","2","Publish Ack (id=2)"
"354","5.236704331","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","37563","1883","","2","Publish Ack (id=2)"
"355","5.236704641","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","38495","1883","","2","Publish Ack (id=2)"
"358","5.236828844","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","55567","1883","","2","Publish Ack (id=2)"
"360","5.236901891","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","58331","1883","","2","Publish Ack (id=2)"
"361","5.236902081","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","46061","1883","","2","Publish Ack (id=2)"
"362","5.236902212","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","58681","1883","","2","Publish Ack (id=2)"
"371","6.438174002","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","60171","7b276d657373616765273a2027394d6a45496f587565527a415464335479553173355535â\200\246","3","Publish Message (id=3) [devices-2cdfdbf7-3632-4de1-83f3-1d307e813765]"
"373","6.448832848","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","60171","1883","7b276d657373616765273a2027394d6a45496f587565527a415464335479553173355535â\200\246","","Publish Message [devices-2cdfdbf7-3632-4de1-83f3-1d307e813765]"
"375","6.460635509","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","60171","1883","","3","Publish Ack (id=3)"
"377","6.532647060","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","37563","7b276d657373616765273a202761774c4a486a5764766431366241445454476454304751â\200\246","3","Publish Message (id=3) [devices-cb39e3cb-d687-4656-ba9f-3f40f6533a9f]"
"378","6.545020240","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","37563","1883","7b276d657373616765273a202761774c4a486a5764766431366241445454476454304751â\200\246","","Publish Message [devices-cb39e3cb-d687-4656-ba9f-3f40f6533a9f]"
"380","6.556847225","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","37563","1883","","3","Publish Ack (id=3)"
"382","6.877650096","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","40205","7b276d657373616765273a20273354634f4665476e56704c516e656f6c50584475765432â\200\246","3","Publish Message (id=3) [devices-3385dde9-98ba-4c0b-b586-70d4f05f1a73]"
"384","6.889162241","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","40205","1883","7b276d657373616765273a20273354634f4665476e56704c516e656f6c50584475765432â\200\246","","Publish Message [devices-3385dde9-98ba-4c0b-b586-70d4f05f1a73]"
"386","6.900951426","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","40205","1883","","3","Publish Ack (id=3)"
"393","7.387944813","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","56853","7b276d657373616765273a202736654d637538447a30437a6c7066355951696f395a4343â\200\246","3","Publish Message (id=3) [devices-100714b9-ea3e-45c6-b02a-036a48575850]"
"395","7.401930665","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","56853","1883","7b276d657373616765273a202736654d637538447a30437a6c7066355951696f395a4343â\200\246","","Publish Message [devices-100714b9-ea3e-45c6-b02a-036a48575850]"
"397","7.413810500","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","56853","1883","","3","Publish Ack (id=3)"
"399","7.424101127","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","55567","7b276d657373616765273a2027636738645341516f73574534763162305165774a674256â\200\246","3","Publish Message (id=3) [devices-363f622d-4add-4e75-9b71-c81d66119ef1]"
"401","7.437221778","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","55567","1883","7b276d657373616765273a2027636738645341516f73574534763162305165774a674256â\200\246","","Publish Message [devices-363f622d-4add-4e75-9b71-c81d66119ef1]"
"403","7.449080203","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","55567","1883","","3","Publish Ack (id=3)"
"406","7.709908827","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","34875","7b276d657373616765273a2027536c54785666376c6665665134596671655a543958506câ\200\246","3","Publish Message (id=3) [devices-701f10f1-66bb-4698-a97d-375e124239a6]"
"408","7.720978263","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","34875","1883","7b276d657373616765273a2027536c54785666376c6665665134596671655a543958506câ\200\246","","Publish Message [devices-701f10f1-66bb-4698-a97d-375e124239a6]"
"410","7.732728695","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","34875","1883","","3","Publish Ack (id=3)"
"412","8.051974596","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","57647","7b276d657373616765273a2027556150674365483258444e6d7641704b6e636149685376â\200\246","3","Publish Message (id=3) [devices-6666a102-3c15-4593-8e43-29da54ecaf5d]"
"414","8.065110916","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","57647","1883","7b276d657373616765273a2027556150674365483258444e6d7641704b6e636149685376â\200\246","","Publish Message [devices-6666a102-3c15-4593-8e43-29da54ecaf5d]"
"416","8.076910311","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","57647","1883","","3","Publish Ack (id=3)"
"426","8.447257075","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","42593","7b276d657373616765273a20274a4d7a574968753763766a4a304d4a4e4668477a4f4e6bâ\200\246","3","Publish Message (id=3) [devices-8bd0e222-d45b-416e-b826-e9e7529bf76e]"
