"No.","Time","Source","Destination","Protocol","Length","Message Type","Destination Port","Source Port","Message","Message Identifier","Info"
"12561","614.503751139","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","46033","1883","","173","Publish Ack (id=173)"
"12563","614.508075242","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","59005","1883","7b276d657373616765273a202754674854414f667a345670753061545241426f507a5853â\200\246","","Publish Message [devices-b95e6802-9267-46dc-8faa-c8ec86b42e26]"
"12565","614.519864689","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","59005","1883","","160","Publish Ack (id=160)"
"12568","615.140935783","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","43243","7b276d657373616765273a20276e735854413849656c506e64704b516c4a785471387655â\200\246","171","Publish Message (id=171) [devices-7c810037-db0e-4371-9458-c52078ba9aba]"
"12569","615.151889948","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","43243","1883","7b276d657373616765273a20276e735854413849656c506e64704b516c4a785471387655â\200\246","","Publish Message [devices-7c810037-db0e-4371-9458-c52078ba9aba]"
"12571","615.163387432","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","43243","1883","","171","Publish Ack (id=171)"
"12578","615.303542311","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","36811","7b276d657373616765273a2027454d6d42367041396c3831696d6f4d344751797a59356eâ\200\246","175","Publish Message (id=175) [devices-dbb6e282-74d8-4a05-8749-6e8adf2ba496]"
"12579","615.316192178","45.179.91.194","192.168.15.2","MQTT","371","Publish Message","36811","1883","7b276d657373616765273a2027454d6d42367041396c3831696d6f4d344751797a59356eâ\200\246","","Publish Message [devices-dbb6e282-74d8-4a05-8749-6e8adf2ba496]"
"12581","615.327840329","45.179.91.194","192.168.15.2","MQTT","70","Publish Ack","36811","1883","","175","Publish Ack (id=175)"
"12583","615.577034644","192.168.15.2","45.179.91.194","MQTT","373","Publish Message","1883","48961","7b276d657373616765273a202750774b4475574742564b4c643747386879696c456f7a53â\200\246","175","Publish Message (id=175) [devices-85fe57d3-0304-4b2d-85ec-93132ef051d7]"
